,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.5025193691253662,44.777817587542415,-10.042696952819824,1.0089209079742432,0.6018654108047485
1,1,0.3072090148925781,44.81739276629867,-10.041460990905762,1.0302485227584839,0.617216169834137
2,2,0.31897854804992676,44.855316909810824,-10.041231155395508,1.0388476848602295,0.6167417764663696
3,3,0.3126342296600342,44.78551559635491,-10.036273956298828,1.0238640308380127,0.6166262030601501
4,4,0.29579973220825195,44.816288217578645,-10.0383939743042,1.0285357236862183,0.6148053407669067
5,5,0.28998780250549316,44.77811635605206,-10.039250373840332,1.0262525081634521,0.6200671195983887
6,6,0.28731703758239746,44.83149875796809,-10.046575546264648,1.032214879989624,0.6187845468521118
7,7,0.29695653915405273,44.84951831651553,-10.052095413208008,1.0305269956588745,0.6177656650543213
8,8,0.29692578315734863,44.90777051319883,-10.049676895141602,1.029285192489624,0.6142212152481079
9,9,0.29868555068969727,44.791395550279276,-10.042315483093262,1.0337613821029663,0.6164222955703735
