,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.35797572135925293,89.43452222005978,-9.978046417236328,1.0518770217895508,0.6286042332649231
1,1,0.3909590244293213,89.35290586430662,-9.974454879760742,1.0474796295166016,0.6250051856040955
2,2,0.33204197883605957,89.43962641782687,-9.973152160644531,1.0516688823699951,0.6280913352966309
3,3,0.3925151824951172,89.45520044287125,-9.975687026977539,1.057410478591919,0.6332423090934753
4,4,0.3493468761444092,89.36956297772261,-9.974504470825195,1.0594770908355713,0.633320689201355
5,5,0.3281278610229492,89.39591144186315,-9.97380542755127,1.0548428297042847,0.6329694986343384
6,6,0.3369593620300293,89.37292720506764,-9.973620414733887,1.055536150932312,0.6316658854484558
7,7,0.3802790641784668,89.45215088754067,-9.97566032409668,1.0511590242385864,0.6284162998199463
8,8,0.36625242233276367,89.4229108608011,-9.97192096710205,1.0516440868377686,0.630044162273407
9,9,0.3460230827331543,89.43935831495628,-9.975739479064941,1.0542491674423218,0.6338648796081543
